ID,Population,Latitude,Longitude
19,Alice Springs,-24.1566879,134.0082254
20,Alice Springs,-24.6101449,134.0746692
21,Alice Springs,-24.5577161,134.0808022
23,Alice Springs,-24.1095104,133.9886218
24,Alice Springs,-23.8609622,133.8926301
25,Alice Springs,-24.2682088,134.0389629
27,Alice Springs,-24.4238623,134.0289561
29,Alice Springs,-24.5412813,134.0383741
30,Alice Springs,-24.5105531,134.0647856
M02,Mildura,-34.1923578,141.7387427
M03,Mildura,-34.1802635,141.7804018
M04,Mildura,-34.1979631,141.6061817
M05,Mildura,-34.1872419,141.7572406
M06,Mildura,-34.1939671,141.6361845
M09,Mildura,-34.2101324,141.761165
M10,Mildura,-34.2238015,141.7611476
M11,Mildura,-34.2362749,141.7610996
M16,Mildura,-34.2029066,141.7612354
M17,Mildura,-34.1979631,141.6061817
M30,Mildura,-34.174175,141.8060001
