Date,Obs. Time,datetime,Tb
16/11/2013,6:20,16/11/2013 6:20,12.45
16/11/2013,7:20,16/11/2013 7:20,12.45
16/11/2013,8:21,16/11/2013 8:21,12.45
16/11/2013,9:21,16/11/2013 9:21,15.1
16/11/2013,10:22,16/11/2013 10:22,17.63
16/11/2013,11:24,16/11/2013 11:24,25.14
16/11/2013,12:24,16/11/2013 12:24,31.25
16/11/2013,13:22,16/11/2013 13:22,29.56
16/11/2013,14:20,16/11/2013 14:20,36.36
16/11/2013,15:22,16/11/2013 15:22,38.12
16/11/2013,16:22,16/11/2013 16:22,33.78
16/11/2013,17:21,16/11/2013 17:21,32.81
16/11/2013,18:21,16/11/2013 18:21,36.36
